"pclass","survived","sex","age","sibsp","parch","fare","embarked"
"Upper","Yes","female",39,0,0,79,"S"
"Upper","Yes","male",8,1,2,58,"S"
"Upper","No","female",23,1,2,58,"S"
"Upper","No","male",41,1,2,58,"S"
"Upper","No","female",33,1,2,58,"S"
"Upper","Yes","male",67,0,0,103,"S"
"Upper","Yes","female",86,1,0,236,"S"
"Upper","No","male",55,0,0,2,"S"
"Upper","Yes","female",73,2,0,157,"S"
"Upper","No","male",94,0,0,153,"C"
"Upper","No","male",66,1,0,85,"C"
"Upper","Yes","female",20,1,0,85,"C"
"Upper","Yes","female",31,0,0,187,"C"
"Upper","Yes","female",34,0,0,238,"S"
"Upper","Yes","male",98,0,0,118,"S"
"Upper","No","male",31,0,1,91,"C"
"Upper","Yes","female",70,0,1,91,"C"
"Upper","Yes","female",44,0,0,233,"C"
"Upper","No","male",50,0,0,231,"C"
"Upper","Yes","male",52,1,1,161,"S"
"Upper","Yes","female",66,1,1,161,"S"
"Upper","Yes","male",34,0,0,118,"C"
"Upper","Yes","female",60,0,0,85,"C"
"Upper","Yes","female",39,0,0,84,"S"
"Upper","No","male",33,0,0,98,"C"
"Upper","Yes","male",33,1,0,281,"C"
"Upper","Yes","female",22,1,0,281,"C"
"Upper","Yes","female",49,0,0,36,"S"
"Upper","Yes","male",37,0,0,103,"S"
"Upper","No","male",63,0,0,136,"S"
"Upper","Yes","male",57,0,0,122,"C"
"Upper","Yes","female",41,0,0,63,"S"
"Upper","Yes","female",79,0,0,103,"S"
"Upper","No","male",60,0,0,103,"S"
"Upper","Yes","female",63,0,0,104,"C"
"Upper","Yes","female",27,0,1,163,"S"
"Upper","No","male",59,0,0,120,"S"
"Upper","No","male",67,0,0,156,"C"
"Upper","Yes","female",62,0,0,108,"C"
"Upper","Yes","female",80,2,0,157,"S"
"Upper","Yes","female",82,0,0,233,"C"
"Upper","Yes","female",59,0,0,35,"C"
"Upper","No","male",63,0,0,103,"S"
"Upper","Yes","male",60,0,0,101,"S"
"Upper","Yes","female",73,0,0,107,"C"
"Upper","Yes","male",50,0,1,159,"C"
"Upper","Yes","female",79,0,1,159,"C"
"Upper","No","male",46,0,0,154,"S"
"Upper","No","male",37,0,0,151,"S"
"Upper","No","male",19,0,0,151,"S"
"Upper","Yes","male",11,1,2,25,"S"
"Upper","Yes","female",15,1,2,25,"S"
"Upper","Yes","male",50,1,2,25,"S"
"Upper","Yes","female",50,1,2,25,"S"
"Upper","No","male",68,0,0,98,"S"
"Upper","No","male",50,1,0,238,"S"
"Upper","Yes","female",96,1,0,238,"S"
"Upper","No","male",65,1,0,181,"S"
"Upper","Yes","female",66,1,0,181,"S"
"Upper","Yes","male",36,1,0,162,"S"
"Upper","Yes","female",46,1,0,162,"S"
"Upper","Yes","female",50,0,0,104,"C"
"Upper","Yes","female",41,0,0,264,"S"
"Upper","Yes","male",63,0,0,116,"C"
"Upper","No","male",36,1,0,37,"C"
"Upper","Yes","female",34,1,0,37,"C"
"Upper","Yes","female",27,0,0,58,"S"
"Upper","No","male",66,0,0,93,"S"
"Upper","Yes","female",55,1,1,262,"C"
"Upper","No","male",52,1,1,262,"C"
"Upper","Yes","female",87,0,2,262,"C"
"Upper","Yes","female",75,2,0,94,"S"
"Upper","No","male",92,1,1,228,"S"
"Upper","Yes","female",50,0,2,228,"S"
"Upper","Yes","female",87,1,1,103,"S"
"Upper","No","male",55,1,0,229,"C"
"Upper","Yes","female",53,1,0,229,"C"
"Upper","Yes","male",71,0,0,103,"S"
"Upper","Yes","male",36,0,0,120,"S"
"Upper","Yes","female",46,0,0,58,"S"
"Upper","No","male",43,1,0,160,"S"
"Upper","Yes","female",36,1,2,160,"S"
"Upper","Yes","male",43,1,0,168,"S"
"Upper","Yes","female",19,1,0,168,"S"
"Upper","Yes","male",73,1,1,259,"S"
"Upper","Yes","male",56,0,2,259,"S"
"Upper","Yes","female",74,1,1,259,"S"
"Upper","No","male",70,1,0,8,"C"
"Upper","Yes","female",36,1,1,91,"C"
"Upper","Yes","female",67,1,0,8,"C"
"Upper","Yes","female",67,1,0,142,"C"
"Upper","Yes","male",68,1,0,167,"C"
"Upper","No","male",55,0,0,116,"C"
"Upper","Yes","female",29,0,1,262,"C"
"Upper","Yes","female",53,0,0,85,"C"
"Upper","Yes","female",74,1,0,237,"C"
"Upper","No","female",50,0,0,126,"C"
"Upper","Yes","male",50,0,0,102,"S"
"Upper","No","male",41,0,0,109,"C"
"Upper","Yes","female",31,3,2,105,"S"
"Upper","Yes","female",37,3,2,105,"S"
"Upper","Yes","female",29,3,2,105,"S"
"Upper","No","male",22,3,2,105,"S"
"Upper","No","male",87,1,4,105,"S"
"Upper","Yes","female",82,1,4,105,"S"
"Upper","Yes","female",41,0,0,167,"C"
"Upper","Yes","male",70,2,0,34,"S"
"Upper","Yes","male",61,1,0,108,"C"
"Upper","Yes","female",27,0,2,152,"C"
"Upper","Yes","male",82,1,1,239,"C"
"Upper","Yes","female",67,1,1,239,"C"
"Upper","No","male",52,1,0,162,"S"
"Upper","Yes","female",49,1,0,162,"S"
"Upper","No","male",66,0,0,139,"S"
"Upper","Yes","female",49,0,0,80,"C"
"Upper","Yes","female",27,0,1,171,"C"
"Upper","Yes","female",63,0,1,171,"C"
"Upper","No","male",31,0,0,239,"C"
"Upper","Yes","male",68,1,0,265,"C"
"Upper","No","male",94,0,0,134,"C"
"Upper","Yes","male",73,0,0,111,"C"
"Upper","Yes","female",22,0,0,118,"S"
"Upper","No","male",53,0,1,59,"S"
"Upper","Yes","female",79,0,1,59,"S"
"Upper","Yes","male",29,0,1,184,"C"
"Upper","Yes","female",63,0,1,184,"C"
"Upper","No","male",65,0,0,239,"C"
"Upper","Yes","male",33,1,0,164,"C"
"Upper","Yes","female",33,1,0,164,"C"
"Upper","Yes","male",67,1,0,234,"C"
"Upper","Yes","female",68,1,0,234,"C"
"Upper","No","male",63,1,0,263,"S"
"Upper","Yes","female",49,1,0,263,"S"
"Upper","No","male",57,0,0,2,"S"
"Upper","Yes","male",36,0,0,234,"C"
"Upper","Yes","female",31,0,0,262,"C"
"Upper","No","male",75,1,1,282,"S"
"Upper","Yes","female",72,1,1,282,"S"
"Upper","No","male",60,0,0,148,"S"
"Upper","No","male",75,0,0,155,"S"
"Upper","Yes","female",18,0,1,170,"C"
"Upper","Yes","female",62,0,1,170,"C"
"Upper","Yes","female",71,1,0,236,"S"
"Upper","No","male",60,1,0,160,"S"
"Upper","Yes","female",49,1,0,160,"S"
"Upper","Yes","male",49,0,0,103,"C"
"Upper","Yes","male",53,1,0,280,"S"
"Upper","Yes","female",49,1,0,280,"S"
"Upper","Yes","female",53,0,0,258,"?"
"Upper","No","female",70,0,0,113,"C"
"Upper","Yes","male",68,0,0,2,"S"
"Upper","No","male",65,0,0,98,"S"
"Upper","No","male",70,0,0,98,"S"
"Upper","No","male",45,0,0,80,"C"
"Upper","No","male",79,0,0,116,"C"
"Upper","No","male",59,1,0,158,"S"
"Upper","Yes","male",60,1,0,161,"S"
"Upper","Yes","female",63,1,0,161,"S"
"Upper","Yes","female",55,0,0,79,"S"
"Upper","Yes","female",68,0,0,97,"S"
"Upper","Yes","female",41,0,0,8,"C"
"Upper","Yes","male",49,0,0,159,"C"
"Upper","No","male",60,0,0,103,"S"
"Upper","Yes","female",75,0,0,108,"C"
"Upper","Yes","female",18,0,1,141,"S"
"Upper","Yes","female",71,0,1,141,"S"
"Upper","No","male",39,0,0,118,"S"
"Upper","Yes","female",26,0,0,236,"S"
"Upper","No","male",41,0,0,149,"S"
"Upper","Yes","female",79,0,0,44,"C"
"Upper","Yes","female",17,0,1,79,"S"
"Upper","No","male",41,0,0,98,"S"
"Upper","Yes","female",18,0,0,264,"S"
"Upper","No","male",22,1,0,162,"S"
"Upper","Yes","female",20,1,0,162,"S"
"Upper","Yes","female",31,0,0,153,"C"
"Upper","No","male",65,0,0,231,"C"
"Upper","No","male",74,0,0,158,"S"
"Upper","Yes","male",50,0,0,101,"S"
"Upper","No","male",37,1,0,260,"C"
"Upper","No","male",88,0,0,103,"S"
"Upper","No","male",62,2,0,280,"Q"
"Upper","Yes","female",46,1,0,280,"Q"
"Upper","Yes","female",52,1,0,280,"Q"
"Upper","Yes","male",41,1,0,169,"C"
"Upper","No","male",75,0,0,120,"S"
"Upper","No","male",66,0,0,147,"S"
"Upper","No","male",52,0,1,116,"C"
"Upper","Yes","female",43,1,0,14,"C"
"Upper","Yes","female",29,1,0,14,"C"
"Upper","No","male",79,0,2,14,"C"
"Upper","Yes","female",22,0,2,100,"S"
"Upper","No","male",87,0,0,98,"S"
"Upper","Yes","female",55,0,0,9,"C"
"Upper","Yes","female",27,0,1,183,"C"
"Upper","No","male",88,0,1,183,"C"
"Upper","No","male",38,0,0,108,"C"
"Upper","No","male",64,0,0,111,"S"
"Upper","No","male",29,0,0,282,"S"
"Upper","No","male",39,1,0,186,"S"
"Upper","Yes","female",27,1,0,186,"S"
"Upper","No","male",20,1,0,9,"C"
"Upper","Yes","female",19,1,0,9,"C"
"Upper","Yes","female",41,0,0,282,"S"
"Upper","Yes","male",72,0,0,120,"S"
"Upper","No","male",66,0,0,160,"S"
"Upper","Yes","female",77,0,1,262,"C"
"Upper","No","male",53,0,0,2,"S"
"Upper","No","male",27,0,0,36,"C"
"Upper","Yes","female",61,0,1,79,"S"
"Upper","No","male",43,0,0,156,"S"
"Upper","Yes","male",63,0,0,103,"S"
"Upper","Yes","female",46,0,0,108,"C"
"Upper","No","male",65,0,0,239,"C"
"Upper","No","male",50,0,0,145,"C"
"Upper","Yes","female",46,0,0,264,"S"
"Upper","No","male",75,1,0,171,"C"
"Upper","Yes","female",74,1,0,171,"C"
"Upper","No","male",46,0,0,103,"S"
"Upper","Yes","male",14,2,2,104,"C"
"Upper","Yes","female",20,2,2,104,"C"
"Upper","Yes","female",26,2,2,104,"C"
"Upper","No","male",84,1,3,104,"C"
"Upper","Yes","female",67,1,3,104,"C"
"Upper","Yes","female",31,0,0,187,"C"
"Upper","Yes","female",49,1,0,169,"C"
"Upper","Yes","female",41,0,0,122,"C"
"Upper","Yes","male",47,0,0,103,"S"
"Upper","Yes","female",57,0,0,59,"S"
"Upper","Yes","male",49,0,0,101,"S"
"Upper","No","male",70,1,0,165,"S"
"Upper","Yes","female",55,1,0,165,"S"
"Upper","Yes","male",77,0,0,136,"C"
"Upper","Yes","male",37,0,0,136,"S"
"Upper","No","male",77,0,0,103,"S"
"Upper","No","male",77,0,0,121,"C"
"Upper","No","male",31,1,0,180,"S"
"Upper","Yes","female",20,1,0,180,"S"
"Upper","Yes","male",31,1,0,261,"S"
"Upper","Yes","female",29,1,0,261,"S"
"Upper","Yes","male",81,0,2,35,"C"
"Upper","Yes","male",63,1,1,35,"C"
"Upper","Yes","female",57,1,1,35,"C"
"Upper","No","male",78,1,0,44,"C"
"Upper","Yes","male",44,0,0,120,"C"
"Upper","No","male",85,0,0,103,"S"
"Upper","Yes","male",74,1,0,164,"C"
"Upper","Yes","female",61,1,0,164,"C"
"Upper","Yes","female",72,1,0,237,"C"
"Upper","Yes","female",85,0,0,258,"?"
"Upper","No","male",90,1,0,84,"S"
"Upper","No","female",86,1,0,84,"S"
"Upper","No","male",84,0,0,128,"S"
"Upper","Yes","female",67,0,0,97,"S"
"Upper","Yes","female",20,0,2,240,"S"
"Upper","No","male",72,1,1,240,"S"
"Upper","Yes","female",55,1,1,240,"S"
"Upper","Yes","male",67,1,0,160,"S"
"Upper","No","male",68,1,1,13,"C"
"Upper","Yes","male",19,0,2,13,"C"
"Upper","Yes","female",55,1,1,13,"C"
"Upper","Yes","male",43,0,0,112,"C"
"Upper","No","male",57,0,0,108,"C"
"Upper","No","male",84,0,0,131,"S"
"Upper","No","male",66,0,0,132,"S"
"Upper","Yes","female",49,0,0,159,"C"
"Upper","No","male",87,1,0,232,"C"
"Upper","Yes","female",82,1,0,232,"C"
"Upper","No","male",82,0,0,103,"S"
"Upper","No","male",74,0,1,235,"S"
"Upper","No","male",26,0,1,235,"S"
"Upper","Yes","female",75,0,0,36,"C"
"Upper","Yes","female",43,0,2,63,"S"
"Upper","No","male",78,1,1,63,"S"
"Upper","Yes","female",63,1,1,63,"S"
"Upper","No","male",70,1,1,80,"C"
"Upper","No","male",36,0,2,80,"C"
"Upper","Yes","female",70,1,1,80,"C"
"Upper","Yes","female",26,0,0,103,"S"
"Upper","No","male",71,0,1,182,"C"
"Upper","Yes","male",26,0,1,182,"C"
"Upper","Yes","female",43,0,0,35,"C"
"Upper","No","male",85,0,0,103,"S"
"Upper","Yes","female",50,0,0,36,"C"
"Middle","No","male",41,1,0,89,"C"
"Middle","Yes","female",37,1,0,89,"C"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",20,0,0,12,"S"
"Middle","No","male",33,0,0,5,"S"
"Middle","No","male",47,1,0,98,"S"
"Middle","Yes","female",50,1,0,98,"S"
"Middle","No","male",78,0,0,26,"S"
"Middle","No","male",20,0,0,12,"S"
"Middle","No","male",29,0,0,5,"S"
"Middle","Yes","female",50,0,0,26,"S"
"Middle","No","male",37,0,0,5,"S"
"Middle","No","male",71,0,0,21,"S"
"Middle","Yes","male",44,1,0,98,"S"
"Middle","Yes","female",22,1,0,98,"S"
"Middle","No","male",37,0,0,98,"S"
"Middle","Yes","male",9,2,1,140,"S"
"Middle","Yes","female",56,2,1,140,"S"
"Middle","Yes","female",13,2,1,140,"S"
"Middle","Yes","female",50,0,3,140,"S"
"Middle","Yes","male",47,0,0,26,"S"
"Middle","Yes","female",22,0,0,26,"S"
"Middle","No","male",29,0,0,26,"S"
"Middle","No","male",34,0,0,26,"S"
"Middle","No","male",60,0,0,26,"S"
"Middle","No","male",36,0,0,26,"S"
"Middle","Yes","female",31,0,0,26,"S"
"Middle","Yes","female",17,0,2,140,"S"
"Middle","No","male",82,1,1,140,"S"
"Middle","Yes","female",57,1,1,140,"S"
"Middle","Yes","female",24,1,0,98,"S"
"Middle","No","male",33,1,0,98,"S"
"Middle","Yes","female",50,0,0,26,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",60,0,0,26,"S"
"Middle","Yes","female",60,0,0,26,"S"
"Middle","Yes","male",7,0,2,114,"S"
"Middle","Yes","male",34,1,1,114,"S"
"Middle","Yes","female",27,1,1,114,"S"
"Middle","Yes","female",49,0,0,76,"S"
"Middle","No","male",22,0,0,26,"S"
"Middle","No","female",62,1,0,98,"S"
"Middle","No","male",74,1,0,98,"S"
"Middle","No","male",72,0,0,28,"S"
"Middle","No","male",52,1,0,98,"S"
"Middle","No","female",39,1,0,98,"S"
"Middle","Yes","female",33,1,1,118,"S"
"Middle","Yes","female",63,0,2,118,"S"
"Middle","No","male",39,1,0,98,"S"
"Middle","Yes","female",37,1,0,98,"S"
"Middle","No","male",39,0,0,5,"S"
"Middle","No","male",37,0,0,26,"S"
"Middle","Yes","male",31,0,0,5,"S"
"Middle","Yes","female",97,0,2,99,"S"
"Middle","No","male",43,1,1,99,"S"
"Middle","Yes","female",43,1,1,99,"S"
"Middle","Yes","female",27,0,0,5,"S"
"Middle","No","female",41,0,0,26,"S"
"Middle","No","male",26,0,0,12,"S"
"Middle","Yes","male",97,1,1,137,"S"
"Middle","No","male",20,0,0,230,"S"
"Middle","Yes","female",67,0,2,137,"S"
"Middle","Yes","female",37,0,0,26,"S"
"Middle","No","male",44,0,0,26,"S"
"Middle","No","male",19,0,0,230,"S"
"Middle","No","male",39,1,0,108,"C"
"Middle","Yes","female",31,1,0,108,"C"
"Middle","No","male",33,0,0,125,"S"
"Middle","No","male",20,0,0,230,"S"
"Middle","Yes","female",20,0,1,86,"S"
"Middle","Yes","female",47,0,1,86,"S"
"Middle","No","male",74,0,0,98,"S"
"Middle","Yes","male",97,0,2,129,"S"
"Middle","No","male",60,1,1,129,"S"
"Middle","Yes","female",47,1,1,129,"S"
"Middle","Yes","female",36,1,0,31,"C"
"Middle","Yes","female",41,1,0,31,"C"
"Middle","No","male",29,0,0,26,"S"
"Middle","No","male",26,0,0,26,"S"
"Middle","No","male",20,0,0,26,"S"
"Middle","No","male",57,1,0,98,"S"
"Middle","Yes","female",39,1,0,98,"S"
"Middle","No","male",20,0,0,5,"S"
"Middle","No","male",50,0,0,26,"S"
"Middle","No","female",53,0,0,26,"S"
"Middle","No","male",49,0,0,98,"S"
"Middle","No","male",53,1,0,76,"S"
"Middle","No","male",47,1,0,76,"S"
"Middle","Yes","female",47,0,0,26,"S"
"Middle","No","male",18,0,0,98,"S"
"Middle","No","male",34,0,0,5,"S"
"Middle","No","male",66,0,0,5,"S"
"Middle","No","male",26,1,0,12,"S"
"Middle","No","male",26,1,0,12,"S"
"Middle","No","male",31,0,0,28,"S"
"Middle","No","male",31,0,0,26,"S"
"Middle","No","male",47,0,0,26,"S"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",72,0,0,26,"S"
"Middle","No","male",41,0,0,26,"S"
"Middle","Yes","male",5,1,1,43,"S"
"Middle","Yes","female",31,0,2,43,"S"
"Middle","No","male",62,0,0,26,"S"
"Middle","Yes","female",81,0,1,130,"S"
"Middle","No","male",37,0,1,130,"S"
"Middle","Yes","male",85,0,0,5,"S"
"Middle","No","male",41,0,0,5,"S"
"Middle","Yes","female",91,0,2,99,"S"
"Middle","No","male",61,1,1,99,"S"
"Middle","Yes","female",63,1,1,99,"S"
"Middle","Yes","female",31,1,2,185,"S"
"Middle","Yes","female",31,1,2,185,"S"
"Middle","No","male",68,1,2,185,"S"
"Middle","Yes","female",67,1,2,185,"S"
"Middle","Yes","female",75,0,0,60,"S"
"Middle","No","male",31,2,0,230,"S"
"Middle","No","male",44,2,0,230,"S"
"Middle","No","male",26,2,0,230,"S"
"Middle","No","female",20,1,1,26,"S"
"Middle","Yes","female",24,2,1,86,"S"
"Middle","No","male",29,2,1,12,"S"
"Middle","No","male",50,0,0,26,"S"
"Middle","Yes","female",74,1,3,86,"S"
"Middle","No","male",70,0,0,26,"S"
"Middle","No","male",62,1,0,98,"S"
"Middle","Yes","female",39,1,0,98,"S"
"Middle","No","male",26,0,0,230,"S"
"Middle","Yes","male",60,0,0,26,"S"
"Middle","No","male",86,1,0,98,"S"
"Middle","No","female",82,1,0,98,"S"
"Middle","No","male",46,0,0,17,"S"
"Middle","Yes","female",19,0,0,5,"S"
"Middle","No","male",60,1,0,106,"S"
"Middle","Yes","female",31,2,1,106,"S"
"Middle","No","male",66,0,0,45,"S"
"Middle","No","male",31,2,0,125,"S"
"Middle","No","male",27,2,0,125,"S"
"Middle","No","male",44,0,0,5,"S"
"Middle","Yes","female",29,0,0,30,"C"
"Middle","No","male",47,1,0,98,"S"
"Middle","Yes","female",31,1,0,98,"S"
"Middle","No","female",27,0,0,76,"S"
"Middle","No","male",49,0,0,19,"Q"
"Middle","Yes","female",63,0,0,28,"S"
"Middle","No","male",78,0,0,19,"Q"
"Middle","No","male",43,0,0,5,"S"
"Middle","No","female",34,1,1,98,"S"
"Middle","No","male",41,1,1,98,"S"
"Middle","Yes","female",9,1,2,146,"C"
"Middle","Yes","female",40,1,2,146,"C"
"Middle","No","male",33,1,2,146,"C"
"Middle","Yes","female",27,1,2,146,"C"
"Middle","Yes","female",19,0,0,15,"C"
"Middle","Yes","female",47,0,0,5,"S"
"Middle","No","male",50,0,0,24,"C"
"Middle","No","male",31,0,0,5,"S"
"Middle","No","male",84,0,0,19,"Q"
"Middle","No","male",70,1,0,98,"S"
"Middle","Yes","female",60,1,0,98,"S"
"Middle","No","female",78,0,0,5,"S"
"Middle","Yes","male",9,0,2,138,"C"
"Middle","No","male",43,1,1,138,"C"
"Middle","Yes","female",31,1,1,138,"C"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",57,0,0,60,"S"
"Middle","No","male",44,0,0,28,"S"
"Middle","No","male",41,0,0,26,"S"
"Middle","No","male",65,0,0,98,"S"
"Middle","Yes","female",14,0,1,70,"S"
"Middle","Yes","female",59,0,1,70,"S"
"Middle","Yes","male",22,0,0,5,"S"
"Middle","No","male",55,0,0,26,"S"
"Middle","No","male",67,0,0,26,"S"
"Middle","No","male",92,0,0,5,"S"
"Middle","No","male",36,0,0,26,"S"
"Middle","No","male",74,0,0,38,"S"
"Middle","No","male",55,0,0,98,"S"
"Middle","No","male",18,0,0,5,"S"
"Middle","No","male",85,0,0,275,"Q"
"Middle","No","male",45,1,0,119,"C"
"Middle","Yes","female",15,1,0,119,"C"
"Middle","Yes","male",23,1,1,98,"S"
"Middle","Yes","male",40,1,1,98,"S"
"Middle","No","male",51,0,2,98,"S"
"Middle","No","male",34,0,0,26,"S"
"Middle","No","male",22,1,1,137,"S"
"Middle","No","male",37,0,0,28,"S"
"Middle","Yes","male",24,0,0,32,"C"
"Middle","Yes","female",39,0,0,5,"S"
"Middle","No","male",55,0,0,26,"S"
"Middle","Yes","male",27,0,0,5,"S"
"Middle","No","male",29,0,0,5,"S"
"Middle","Yes","male",39,0,0,31,"C"
"Middle","No","male",37,0,0,5,"S"
"Middle","Yes","female",70,0,1,98,"S"
"Middle","No","male",22,0,0,5,"S"
"Middle","No","male",59,0,0,26,"S"
"Middle","Yes","female",26,0,1,76,"S"
"Middle","Yes","female",22,0,0,98,"S"
"Middle","No","male",61,0,1,76,"S"
"Middle","Yes","female",44,0,0,26,"S"
"Middle","No","male",47,0,0,26,"S"
"Middle","Yes","male",41,0,0,23,"C"
"Middle","No","male",36,0,0,46,"C"
"Middle","Yes","female",23,1,1,98,"S"
"Middle","Yes","female",97,1,1,98,"S"
"Middle","Yes","female",46,0,2,98,"S"
"Middle","No","male",50,0,0,5,"S"
"Middle","No","male",47,1,0,76,"S"
"Middle","Yes","female",41,3,0,76,"S"
"Middle","Yes","female",37,0,0,26,"S"
"Middle","No","male",29,0,0,47,"C"
"Middle","Yes","male",7,1,1,67,"S"
"Middle","Yes","male",40,1,1,67,"S"
"Middle","Yes","female",31,2,3,67,"S"
"Middle","Yes","female",70,0,0,5,"S"
"Middle","No","male",22,0,0,5,"S"
"Middle","Yes","female",26,0,0,5,"S"
"Middle","No","male",34,0,0,26,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",36,0,0,98,"S"
"Middle","Yes","female",33,0,1,98,"S"
"Middle","Yes","female",20,0,2,26,"S"
"Middle","Yes","female",24,0,0,137,"S"
"Middle","Yes","female",41,0,0,26,"S"
"Middle","No","male",80,0,0,28,"S"
"Middle","Yes","female",41,0,0,19,"Q"
"Middle","No","male",49,0,0,5,"S"
"Middle","Yes","female",57,0,0,26,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",59,0,0,47,"C"
"Middle","No","male",33,0,0,5,"S"
"Middle","No","male",21,0,0,26,"S"
